Site ID,Season,Mussel Species,Sample ID,15N At. Air,%N,13C VPDB,%C
EELR,Fall,Plain Pocketbook,ERPP-04,12.124,8.0718,-29.6376,35.5031
EELR,Fall,Plain Pocketbook,ERPP-05,13.1332,5.3519,-29.634,24.8275
SUGA,Summer,Plain Pocketbook,SC-PP-06,12.56152943,8.997419777,-29.5733788,36.80035611
SUGA,Fall,Plain Pocketbook,SCPP-09,12.3761,7.2303,-29.4955,34.2942
SUGA,Summer,Plain Pocketbook,SC-PP-01,12.5735689,8.888954904,-29.36849932,39.94946389
WILD,Fall,Plain Pocketbook,WCPP-03,11.4285,8.7777,-29.3309,37.467
LAUG,Fall,Plain Pocketbook,LCPP-02,9.7024,6.7599,-29.329,37.8853
MISS,Summer,Plain Pocketbook,MR-PP-04,12.40704581,10.38324685,-29.28029613,40.96460535
SUGA,Summer,Plain Pocketbook,SC-PP-08,12.5454768,9.663731754,-29.24400317,38.4145624
LAUG,Fall,Plain Pocketbook,LCPP-10,10.1013,6.1273,-29.2415,31.1311
MISS,Summer,Plain Pocketbook,MR-PP-03,12.4781631,9.517104402,-29.09910791,40.33648721
MISS,Summer,Plain Pocketbook,MR-PP-08,12.16564769,9.764296451,-29.09225213,41.65772383
SUGA,Summer,Plain Pocketbook,SC-PP-09,11.48700655,9.249606883,-29.07637449,39.20749197
SUGA,Fall,Plain Pocketbook,SCPP-01,12.2452,5.5314,-29.0568,32.8962
WHIT,Fall,Plain Pocketbook,WRPP-04,11.5387,7.0165,-29.0266,34.182
EELR,Fall,Plain Pocketbook,ERPP-08,12.6244,3.8019,-29.0214,20.173
DEER,Summer,Plain Pocketbook,DC-PP-05,11.40539387,11.72681887,-29.01487987,42.47818659
WHIT,Summer,Plain Pocketbook,WR-PP-06,12.91563044,11.58015951,-29.00014677,38.25701444
EELR,Fall,Plain Pocketbook,ERPP-06,12.154,7.0894,-28.9861,31.8743
MUDC,Summer,Plain Pocketbook,MC-PP-08,9.374079196,8.828730023,-28.84404703,42.11592417
DEER,Summer,Plain Pocketbook,DC-PP-03,11.46048472,10.91341616,-28.83760922,40.82521039
WHIT,Fall,Plain Pocketbook,WRPP-06,12.9356,9.3847,-28.8209,38.4678
WILD,Fall,Plain Pocketbook,WCPP-10,11.58,4.3451,-28.8155,27.7945
MUDC,Summer,Plain Pocketbook,MC-PP-03,10.71246718,6.940181041,-28.77738768,37.58672334
MISS,Summer,Plain Pocketbook,MR-PP-10,12.65144889,12.16432205,-28.75925756,43.07168655
WHIT,Fall,Plain Pocketbook,WRPP-02,12.3456,7.921,-28.7385,37.5672
